"brand_id","brand_name","brand_generic","brand_manufacturer","brand_use"
"","Almin","[Albendazole]","Kumudini Pharma ",""
"","Almin","[Albendazole]","Kumudini Pharma ",""
"","Alphin DS","[Albendazole]","Beximco Pharmaceuticals ",""
"","Alpro","[Albendazole]","Pharmadesh Laboratories ",""
"","Alzed","[Albendazole]","General Pharmaceuticals ",""
"","Anthel","[Albendazole]","Seema Pharmaceuticals ",""
"","Asiben","[Albendazole]","Asiatic Laboratories ",""
"","Asiben","[Albendazole]","Asiatic Laboratories ",""
"","Azole","[Albendazole]","Bio Pharma Laboratories ",""
"","Azole","[Albendazole]","Bio Pharma Laboratories ",""
"","Ben A","[Albendazole]","Acme Laboratories ",""
"","Ben-A","[Albendazole]","Acme Laboratories ",""
"","Benda DS","[Albendazole]","Bristol Pharma ",""
"","Benfast","[Albendazole]","Novo Healthcare and Pharma ",""
"","Benz-24","[Albendazole]","Belsen Pharmaceuticals ",""
"","Chir-DS","[Albendazole]","Reliance Pharmaceuticals ",""
"","Chuben","[Albendazole]","Alco Pharma ",""
"","Colaz","[Albendazole]","Cosmic Chemical Industries ",""
"","Colaz","[Albendazole]","Cosmic Chemical Industries ",""
"","Cosben","[Albendazole]","Cosmo Pharma Laboratories ",""
"","Durazol","[Albendazole]","Millat Pharmaceuticals ",""
"","Durazol","[Albendazole]","Millat Pharmaceuticals ",""
"","E Ben","[Albendazole]","Edruc ",""
"","E Ben DS","[Albendazole]","Edruc ",""
"","Eben","[Albendazole]","Edruc ",""
"","Elmin","[Albendazole]","Jayson Pharmaceuticals ",""
"","Estazol","[Albendazole]","Ibn Sina Pharmaceutical",""
"","Estazol","[Albendazole]","Ibn Sina Pharmaceutical",""
"","G Albendazole","[Albendazole]","Gonoshasthaya Pharmaceuticals ",""
"","H Ben","[Albendazole]","Hudson Pharmaceuticals ",""
"","Helben DS","[Albendazole]","Modern Pharmaceuticals ",""
"","Infesen","[Albendazole]","Drug International Ltd.",""
"","Infesen","[Albendazole]","Drug International Ltd.",""
"","Krimizole","[Albendazole]","Mystic Pharmaceuticals ",""
"","Krimizole DS","[Albendazole]","Mystic Pharmaceuticals ",""
"","Mebel","[Albendazole]","Medicon Pharmaceuticals ",""
"","Mebel DS","[Albendazole]","Medicon Pharmaceuticals ",""
"","Nematox DS","[Albendazole]","Chemist Laboratories ",""
"","NT-Par","[Albendazole]","Rangs Pharmaceuticals ",""
"","NT-Par","[Albendazole]","Rangs Pharmaceuticals ",""
"","Olv","[Albendazole]","Organic Health Care",""
"","Parnil DS","[Albendazole]","Euro Pharma ",""
"","Q ben DS","[Albendazole]","Concord Pharmaceuticals ",""
"","R-Zol","[Albendazole]","Reman Drug Laboratories ",""
"","Sintel","[Albendazole]","ACI ltd.",""
"","Sintel","[Albendazole]","ACI ltd.",""
"","Triben","[Albendazole]","Ambee Pharmaceuticals ",""
"","Triben DS","[Albendazole]","Ambee Pharmaceuticals ",""
"","Verben","[Albendazole]","Astra Biopharmaceuticals ",""
"","Vermid","[Albendazole]","Somatec Pharmaceuticals ",""
"","Vermikil","[Albendazole]","NIPRO JMI Pharma ",""
"","Vermikil","[Albendazole]","NIPRO JMI Pharma ",""
"","Vermin DS","[Albendazole]","Nipa Pharmaceuticals ",""
"","Wormex","[Albendazole]","Syntho Laboratories ",""
"","Wormex","[Albendazole]","Syntho Laboratories ",""
"","Xben","[Albendazole]","RAK Pharmaceuticals ",""
"","Zoben","[Albendazole]","Amico Laboratories ",""
"","Zoben","[Albendazole]","Amico Laboratories ",""
"","Albumin Human 20%","[Albumin Human 20%]","Octapharma Pharmazeutika, Germany",""
"","Albumin Human 20%","[Albumin Human 20%]","Octapharma Pharmazeutika, Germany",""
"","Albutein 25% Solution","[Albumin Human 25%]","Grifols Biologicals Inc., USA",""
"","Albutein 5% Solution","[Albumin Human 5%]","Grifols Biologicals Inc., USA",""
"","Alcafta","[Alcaftadine]","Incepta Pharmaceuticals ",""
"","Bonemass D","[Alendronic Acid ; Vitamin D3]","Incepta Pharmaceuticals ",""
"","Ostel D 10/400","[Alendronic Acid ; Vitamin D3]","Square Pharmaceuticals ",""
"","Ostel D 70/2800","[Alendronic Acid ; Vitamin D3]","Square Pharmaceuticals ",""
"","Ostomax","[Alendronic Acid ; Vitamin D3]","Eskayef Bangladesh",""
"","Alendon","[Alendronic Acid]","Beximco Pharmaceuticals ",""
"","Alendon","[Alendronic Acid]","Beximco Pharmaceuticals ",""
"","Bonemas","[Alendronic Acid]","Incepta Pharmaceuticals ",""
"","Mabone","[Alendronic Acid]","ACI ltd.",""
"","Ostel 10","[Alendronic Acid]","Square Pharmaceuticals ",""
"","Ostel 70","[Alendronic Acid]","Square Pharmaceuticals ",""
"","Ostomax","[Alendronic Acid]","Eskayef Bangladesh",""
"","One Alpha","[Alfacalcidol]","Leo Pharmaceutical Products, Denmark",""
"","Alfasin XR","[Alfuzosin]","Incepta Pharmaceuticals ",""
"","Uriten","[Alfuzosin]","Square Pharmaceuticals ",""
"","Zatral","[Alfuzosin]","Eskayef Bangladesh",""
"","Rasilez HCT 150/12.5","[Aliskiren Hemifumarate ; Hydrochlorothiazide]","Novartis Farma SP. A., Italy",""
"","Rasilez","[Aliskiren]","Novartis Farma SP. A., Italy",""
"","Rasilez","[Aliskiren]","Novartis Farma SP. A., Italy",""
"","Aluric","[Allopurinol]","Sonear Laboratories ",""
"","Alurol","[Allopurinol]","Incepta Pharmaceuticals ",""
"","Duric","[Allopurinol]","Opsonin Pharma ",""
"","Duric","[Allopurinol]","Opsonin Pharma ",""
"","Esloric","[Allopurinol]","Square Pharmaceuticals ",""
"","Esloric","[Allopurinol]","Square Pharmaceuticals ",""
"","Goutex","[Allopurinol]","Bio Pharma Laboratories ",""
"","Purinol","[Allopurinol]","Unimed & Unihealth Manufacturers ",""
"","Purinol","[Allopurinol]","Unimed & Unihealth Manufacturers ",""
"","Ucorex","[Allopurinol]","Healthcare Pharmaceuticals ",""
"","Alestor","[Allylestrenol]","Incepta Pharmaceuticals ",""
"","Allygest","[Allylestrenol]","Nuvista Pharma Ltd",""
"","Allynol","[Allylestrenol]","Popular Pharmaceuticals ",""
"","Geston","[Allylestrenol]","Square Pharmaceuticals ",""
"","Gestrenol","[Allylestrenol]","Renata ",""
"","Prelab","[Allylestrenol]","ACI ltd.",""
"","Albasine","[Almitrine Bismesylate ; Raubasine]","Drug International Ltd.",""
"","Aruxil","[Almitrine Bismesylate ; Raubasine]","Opsonin Pharma ",""
"","Truxil","[Almitrine Bismesylate ; Raubasine]","Square Pharmaceuticals ",""
"","Almitan","[Almotriptan]","Opsonin Pharma ",""
"","Altrip","[Almotriptan]","NIPRO JMI Pharma ",""
"","Centrica","[Alpha Ketoanalogues & Essential amino acids]","Boehringer Ingelheim Pharmaceutical",""
"","Ketosteril","[Alpha Ketoanalogues & Essential amino acids]","Fresenius Kabi Deutschland GmbH, Germany",""
"","Naturovit","[Alpha Ketoanalogues & Essential amino acids]","Boehringer Ingelheim Pharmaceutical",""
"","Alpam","[Alprazolam]","Asiatic Laboratories ",""
"","Alpam","[Alprazolam]","Asiatic Laboratories ",""
"","Alprax","[Alprazolam]","Opsonin Pharma ",""
"","Alprax","[Alprazolam]","Opsonin Pharma ",""
"","Alprax XR","[Alprazolam]","Opsonin Pharma ",""
"","Alprax XR","[Alprazolam]","Opsonin Pharma ",""
"","Alprocontin","[Alprazolam]","Mundipharma",""
"","Alzolam 0.25","[Alprazolam]","Sun Pharmaceutical",""
"","Alzolam 0.5","[Alprazolam]","Sun Pharmaceutical",""
"","Alzolam SR 1","[Alprazolam]","Sun Pharmaceutical",""
"","Nixalo","[Alprazolam]","Square Pharmaceuticals ",""
"","Nixalo","[Alprazolam]","Square Pharmaceuticals ",""
"","Serelam","[Alprazolam]","General Pharmaceuticals ",""
"","Serelam","[Alprazolam]","General Pharmaceuticals ",""
"","Xanax","[Alprazolam]","Navana Pharmaceuticals ",""
"","Xanax","[Alprazolam]","Navana Pharmaceuticals ",""
"","Xolam XR","[Alprazolam]","Aristopharma ",""
"","Xolam XR","[Alprazolam]","Aristopharma ",""
"","Zolax","[Alprazolam]","Beximco Pharmaceuticals ",""
"","Zolax","[Alprazolam]","Beximco Pharmaceuticals ",""
"","Zolium","[Alprazolam]","Incepta Pharmaceuticals ",""
"","Zolium","[Alprazolam]","Incepta Pharmaceuticals ",""
"","Dricare","[Aluminium Chloride Hexahydrate]","Ziska Pharmaceuticals ",""
"","Alucil S","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Opsonin Pharma ",""
"","Amacid Plus","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Incepta Pharmaceuticals ",""
"","Antacid Max","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Beximco Pharmaceuticals ",""
"","Antanil PLUS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Ibn Sina Pharmaceutical",""
"","Antanil PLUS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Ibn Sina Pharmaceutical",""
"","Biocid PLUS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Bio Pharma Laboratories ",""
"","Droxigel PLUS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Modern Pharmaceuticals ",""
"","Entacyd PLUS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Square Pharmaceuticals ",""
"","Entacyd PLUS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Square Pharmaceuticals ",""
"","Flatameal","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Beximco Pharmaceuticals ",""
"","Geludrox HS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Drug International Ltd.",""
"","Jpdrox S","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Jayson Pharmaceuticals ",""
"","Magadrox PLUS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","GA Company ",""
"","Neutral S","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Hallmark Pharmaceuticals ",""
"","Nocid PLUS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Medimet Pharmaceuticals ",""
"","Oxecone S","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Acme Laboratories ",""
"","Peptacid","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Amico Laboratories ",""
"","Pharmacid PLUS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Pharmadesh Laboratories ",""
"","Pharmacid PLUS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Pharmadesh Laboratories ",""
"","Recocid Plus","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Rephco Pharmaceuticals ",""
"","Remacid PLUS","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Reman Drug Laboratories ",""
"","Stoma Gas","[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]","Eskayef Bangladesh",""
"","Algex","[Aluminium Hydroxide ; Magnesium Hydroxide]","Doctor's Chemicals Works ",""
"","Alucil -s","[Aluminium Hydroxide ; Magnesium Hydroxide]","Opsonin Pharma ",""
"","Alugel","[Aluminium Hydroxide ; Magnesium Hydroxide]","Cosmic Chemical Industries ",""
"","Ancid Plus","[Aluminium Hydroxide ; Magnesium Hydroxide]","Renata ",""
"","Antameal","[Aluminium Hydroxide ; Magnesium Hydroxide]","Alco Pharma ",""
"","Antanil","[Aluminium Hydroxide ; Magnesium Hydroxide]","Ibn Sina Pharmaceutical",""
"","Apcocid","[Aluminium Hydroxide ; Magnesium Hydroxide]","Supreme Pharmaceuticals ",""
"","Avlocid","[Aluminium Hydroxide ; Magnesium Hydroxide]","ACI ltd.",""
"","Biocid","[Aluminium Hydroxide ; Magnesium Hydroxide]","Bio Pharma Laboratories ",""
"","Crystacid","[Aluminium Hydroxide ; Magnesium Hydroxide]","Crystal Pharmaceuticals ",""
"","Cytocid","[Aluminium Hydroxide ; Magnesium Hydroxide]","Central Pharmaceutical ",""
"","Digel","[Aluminium Hydroxide ; Magnesium Hydroxide]","Aristopharma ",""
"","Dolocid","[Aluminium Hydroxide ; Magnesium Hydroxide]","Aexim Pharmaceuticals ",""
"","Duomeal","[Aluminium Hydroxide ; Magnesium Hydroxide]","Ad din Pharmaceuticals ",""
"","Entacyd","[Aluminium Hydroxide ; Magnesium Hydroxide]","Square Pharmaceuticals ",""
"","Entacyd","[Aluminium Hydroxide ; Magnesium Hydroxide]","Square Pharmaceuticals ",""
"","Epazel","[Aluminium Hydroxide ; Magnesium Hydroxide]","Edruc ",""
"","G Antacid MH","[Aluminium Hydroxide ; Magnesium Hydroxide]","Gonoshasthaya Pharmaceuticals ",""
"","Gastrodyne","[Aluminium Hydroxide ; Magnesium Hydroxide]","Orion Pharma ",""
"","Genacid","[Aluminium Hydroxide ; Magnesium Hydroxide]","General Pharmaceuticals ",""
"","Hi Gel","[Aluminium Hydroxide ; Magnesium Hydroxide]","Hudson Pharmaceuticals ",""
"","Jpdrox","[Aluminium Hydroxide ; Magnesium Hydroxide]","Jayson Pharmaceuticals ",""
"","Lactameal","[Aluminium Hydroxide ; Magnesium Hydroxide]","Beximco Pharmaceuticals ",""
"","Magnogel","[Aluminium Hydroxide ; Magnesium Hydroxide]","Amico Laboratories ",""
"","Nocid","[Aluminium Hydroxide ; Magnesium Hydroxide]","Medimet Pharmaceuticals ",""
"","Oxecone","[Aluminium Hydroxide ; Magnesium Hydroxide]","Acme Laboratories ",""
"","Pharmacid","[Aluminium Hydroxide ; Magnesium Hydroxide]","Pharmadesh Laboratories ",""
"","Placid","[Aluminium Hydroxide ; Magnesium Hydroxide]","Salton Pharmaceuticals ",""
"","Recocid","[Aluminium Hydroxide ; Magnesium Hydroxide]","Rephco Pharmaceuticals ",""
"","Remacid","[Aluminium Hydroxide ; Magnesium Hydroxide]","Reman Drug Laboratories ",""
"","Stoma","[Aluminium Hydroxide ; Magnesium Hydroxide]","Eskayef Bangladesh",""
"","Stomacid","[Aluminium Hydroxide ; Magnesium Hydroxide]","Ambee Pharmaceuticals ",""
"","Sugel","[Aluminium Hydroxide ; Magnesium Hydroxide]","Pacific Pharmaceuticals ",""
"","Trialugel","[Aluminium Hydroxide ; Magnesium Hydroxide]","Indobangla Pharmaceuticals",""
