brand_id,brand_name,brand_manufacturer,brand_generic
,Xpain,GA Company ,[Aceclofenac]
,Xyfen,Supreme Pharmaceuticals ,[Aceclofenac]
,Zerodol,Navana Pharmaceuticals ,[Aceclofenac]
,Zolfin,Beximco Pharmaceuticals ,[Aceclofenac]
,Zolonac,Sharif Pharmaceuticals ,[Aceclofenac]
,Tendonil,Orion Pharma ,[Acemetacin]
,Acemox,Acme Laboratories ,[Acetazolamide]
,Remox,Reman Drug Laboratories ,[Acetazolamide]
,Mucomist,Beximco Pharmaceuticals ,[Acetylcysteine]
,Mucomist-DT,Beximco Pharmaceuticals ,[Acetylcysteine]
,Viscotin,Unimed & Unihealth Manufacturers ,[Acetylcysteine]
,Soritec,ACI ltd.,[Acitretin]
,"Ultracarbon 				 	","Merck, Italy",[Activated Charcoal]
,Aciclon,Reman Drug Laboratories ,[Acyclovir 3%]
,Acyvir,Aristopharma ,[Acyclovir 3%]
,Clovir,Ibn Sina Pharmaceutical,[Acyclovir 3%]
,Cuvir,General Pharmaceuticals ,[Acyclovir 3%]
,Cylcovex,Opso Saline ,[Acyclovir 3%]
,Sevirax,GA Company ,[Acyclovir 3%]
,Virex,Nipa Pharmaceuticals ,[Acyclovir 3%]
,Novirax,Drug International Ltd.,[Acyclovir 5%]
,Simplovir,Incepta Pharmaceuticals ,[Acyclovir 5%]
,Viroxi,Eskayef Bangladesh,[Acyclovir 5%]
,Virux,Square Pharmaceuticals ,[Acyclovir 5%]
,Acerux,Opsonin Pharma ,[Acyclovir]
,Clovir,Ibn Sina Pharmaceutical,[Acyclovir]
,Novirax,Drug International Ltd.,[Acyclovir]
,Viroxi,Eskayef Bangladesh,[Acyclovir]
,Virux,Square Pharmaceuticals ,[Acyclovir]
,Xovir,Beacon Pharmaceuticals ,[Acyclovir]
,Adaben Duo Gel,Incepta Pharmaceuticals ,[Adapalene ; Benzoyl Peroxide]
,Fona Plus,Square Pharmaceuticals ,[Adapalene ; Benzoyl Peroxide]
,Freshlook,Ziska Pharmaceuticals ,[Adapalene ; Benzoyl Peroxide]
,Freshlook Gel,Ziska Pharmaceuticals ,[Adapalene ; Benzoyl Peroxide]
,Aclene,Drug International Ltd.,[Adapalene 0.1%]
,Adapel,Healthcare Pharmaceuticals ,[Adapalene 0.1%]
,Adgar 0.1%,ACI ltd.,[Adapalene 0.1%]
,Apalene 0.1%,Incepta Pharmaceuticals ,[Adapalene 0.1%]
,Fona,Square Pharmaceuticals ,[Adapalene 0.1%]
,Adgar 0.3%,ACI ltd.,[Adapalene 0.3%]
,Fona,Square Pharmaceuticals ,[Adapalene 0.3%]
,Adfovir,Sun Pharmaceutical,[Adefovir Dipivoxil]
,Adovir,Renata ,[Adefovir Dipivoxil]
,Antiva,Square Pharmaceuticals ,[Adefovir Dipivoxil]
,Infovir,Incepta Pharmaceuticals ,[Adefovir Dipivoxil]
,Catavit,Apex Pharmaceuticals ,[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]
,Catnil,Acme Laboratories ,[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]
,Catrix,Incepta Pharmaceuticals ,[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]
,Phacovit,Aristopharma ,[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]
,Ractovit,Ibn Sina Pharmaceutical,[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]
,Vitafol,Popular Pharmaceuticals ,[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]
,Vitalens,General Pharmaceuticals ,[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]
,Adecard,Popular Pharmaceuticals ,[Adenosine]
,Osiden,Square Pharmaceuticals ,[Adenosine]
,G Lignocaine 2%,Gonoshasthaya Pharmaceuticals ,[Adrenaline ; Lidocaine Hydrochloride]
,Jasocaine A,Jayson Pharmaceuticals ,[Adrenaline ; Lidocaine Hydrochloride]
,Jasocaine A 1%,Jayson Pharmaceuticals ,[Adrenaline ; Lidocaine Hydrochloride]
,Jasocaine-A 2%,Jayson Pharmaceuticals ,[Adrenaline ; Lidocaine Hydrochloride]
,Jasocaine-A DC,Jayson Pharmaceuticals ,[Adrenaline ; Lidocaine Hydrochloride]
,Adrenaline,Techno Drugs ,[Adrenaline]
,Adrin,GA Company ,[Adrenaline]
,Adrinor,Incepta Pharmaceuticals ,[Adrenaline]
,Anaroxyl,Nuvista Pharma Ltd,[Adrenochrome Monosemicarbazone]
,Abentel,Aristopharma ,[Albendazole]
,Adze,Kemiko Pharmaceuticals ,[Albendazole]
,AL,Everest Pharmaceuticals ,[Albendazole]
,Al DS,Globe Pharmaceuticals ,[Albendazole]
,Alarm,Decent Pharma Laboratories ,[Albendazole]
,Alba,Navana Pharmaceuticals ,[Albendazole]
,Albamax DS,Ziska Pharmaceuticals ,[Albendazole]
,Albazol DS,Central Pharmaceutical ,[Albendazole]
,Alben,Eskayef Bangladesh,[Albendazole]
,Alben DS,Eskayef Bangladesh,[Albendazole]
,Albenda DS,Aexim Pharmaceuticals ,[Albendazole]
,Albendazole,EDCL,[Albendazole]
,Albendox,Indobangla Pharmaceuticals,[Albendazole]
,Albezen,Zenith Pharmaceuticals ,[Albendazole]
,Albicon DS,White Horse Pharma,[Albendazole]
,Albrex,Medimet Pharmaceuticals ,[Albendazole]
,Alda,Supreme Pharmaceuticals ,[Albendazole]
,Alda DS,Supreme Pharmaceuticals ,[Albendazole]
,Aldaben,Ad din Pharmaceuticals ,[Albendazole]
,Aldaben DS,Ad din Pharmaceuticals ,[Albendazole]
,Aldes,Desh Pharmaceuticals ,[Albendazole]
,Aldes-DS,Desh Pharmaceuticals ,[Albendazole]
,Aldew,Doctor's Chemicals Works ,[Albendazole]
,Aldex,GA Company ,[Albendazole]
,Aldex DS,GA Company ,[Albendazole]
,Aldin DS,Techno Drugs ,[Albendazole]
,Alentin,Renata ,[Albendazole]
,Alentin DS,Renata ,[Albendazole]
,Almex,Square Pharmaceuticals ,[Albendazole]
,Almin,Kumudini Pharma ,[Albendazole]
,Alphin DS,Beximco Pharmaceuticals ,[Albendazole]
,Alpro,Pharmadesh Laboratories ,[Albendazole]
,Alzed,General Pharmaceuticals ,[Albendazole]
,Anthel,Seema Pharmaceuticals ,[Albendazole]
,Asiben,Asiatic Laboratories ,[Albendazole]
,Azole,Bio Pharma Laboratories ,[Albendazole]
,Ben A,Acme Laboratories ,[Albendazole]
,Ben-A,Acme Laboratories ,[Albendazole]
,Benda DS,Bristol Pharma ,[Albendazole]
,Benfast,Novo Healthcare and Pharma ,[Albendazole]
,Benz-24,Belsen Pharmaceuticals ,[Albendazole]
,Chir-DS,Reliance Pharmaceuticals ,[Albendazole]
,Chuben,Alco Pharma ,[Albendazole]
,Colaz,Cosmic Chemical Industries ,[Albendazole]
,Cosben,Cosmo Pharma Laboratories ,[Albendazole]
,Durazol,Millat Pharmaceuticals ,[Albendazole]
,E Ben,Edruc ,[Albendazole]
,E Ben DS,Edruc ,[Albendazole]
,Eben,Edruc ,[Albendazole]
,Elmin,Jayson Pharmaceuticals ,[Albendazole]
,Estazol,Ibn Sina Pharmaceutical,[Albendazole]
,G Albendazole,Gonoshasthaya Pharmaceuticals ,[Albendazole]
,H Ben,Hudson Pharmaceuticals ,[Albendazole]
,Helben DS,Modern Pharmaceuticals ,[Albendazole]
,Infesen,Drug International Ltd.,[Albendazole]
,Krimizole,Mystic Pharmaceuticals ,[Albendazole]
,Krimizole DS,Mystic Pharmaceuticals ,[Albendazole]
,Mebel,Medicon Pharmaceuticals ,[Albendazole]
,Mebel DS,Medicon Pharmaceuticals ,[Albendazole]
,Nematox DS,Chemist Laboratories ,[Albendazole]
,NT-Par,Rangs Pharmaceuticals ,[Albendazole]
,Olv,Organic Health Care,[Albendazole]
,Parnil DS,Euro Pharma ,[Albendazole]
,Q ben DS,Concord Pharmaceuticals ,[Albendazole]
,R-Zol,Reman Drug Laboratories ,[Albendazole]
,Sintel,ACI ltd.,[Albendazole]
,Triben,Ambee Pharmaceuticals ,[Albendazole]
,Triben DS,Ambee Pharmaceuticals ,[Albendazole]
,Verben,Astra Biopharmaceuticals ,[Albendazole]
,Vermid,Somatec Pharmaceuticals ,[Albendazole]
,Vermikil,NIPRO JMI Pharma ,[Albendazole]
,Vermin DS,Nipa Pharmaceuticals ,[Albendazole]
,Wormex,Syntho Laboratories ,[Albendazole]
,Xben,RAK Pharmaceuticals ,[Albendazole]
,Zoben,Amico Laboratories ,[Albendazole]
,Albumin Human 20%,"Octapharma Pharmazeutika, Germany",[Albumin Human 20%]
,Albutein 25% Solution,"Grifols Biologicals Inc., USA",[Albumin Human 25%]
,Albutein 5% Solution,"Grifols Biologicals Inc., USA",[Albumin Human 5%]
,Alcafta,Incepta Pharmaceuticals ,[Alcaftadine]
,Bonemass D,Incepta Pharmaceuticals ,[Alendronic Acid ; Vitamin D3]
,Ostel D 10/400,Square Pharmaceuticals ,[Alendronic Acid ; Vitamin D3]
,Ostel D 70/2800,Square Pharmaceuticals ,[Alendronic Acid ; Vitamin D3]
,Ostomax,Eskayef Bangladesh,[Alendronic Acid ; Vitamin D3]
,Alendon,Beximco Pharmaceuticals ,[Alendronic Acid]
,Bonemas,Incepta Pharmaceuticals ,[Alendronic Acid]
,Mabone,ACI ltd.,[Alendronic Acid]
,Ostel 10,Square Pharmaceuticals ,[Alendronic Acid]
,Ostel 70,Square Pharmaceuticals ,[Alendronic Acid]
,Ostomax,Eskayef Bangladesh,[Alendronic Acid]
,One Alpha,"Leo Pharmaceutical Products, Denmark",[Alfacalcidol]
,Alfasin XR,Incepta Pharmaceuticals ,[Alfuzosin]
,Uriten,Square Pharmaceuticals ,[Alfuzosin]
,Zatral,Eskayef Bangladesh,[Alfuzosin]
,Rasilez HCT 150/12.5,"Novartis Farma SP. A., Italy",[Aliskiren Hemifumarate ; Hydrochlorothiazide]
,Rasilez,"Novartis Farma SP. A., Italy",[Aliskiren]
,Aluric,Sonear Laboratories ,[Allopurinol]
,Alurol,Incepta Pharmaceuticals ,[Allopurinol]
,Duric,Opsonin Pharma ,[Allopurinol]
,Esloric,Square Pharmaceuticals ,[Allopurinol]
,Goutex,Bio Pharma Laboratories ,[Allopurinol]
,Purinol,Unimed & Unihealth Manufacturers ,[Allopurinol]
,Ucorex,Healthcare Pharmaceuticals ,[Allopurinol]
,Alestor,Incepta Pharmaceuticals ,[Allylestrenol]
,Allygest,Nuvista Pharma Ltd,[Allylestrenol]
,Allynol,Popular Pharmaceuticals ,[Allylestrenol]
,Geston,Square Pharmaceuticals ,[Allylestrenol]
,Gestrenol,Renata ,[Allylestrenol]
,Prelab,ACI ltd.,[Allylestrenol]
,Albasine,Drug International Ltd.,[Almitrine Bismesylate ; Raubasine]
,Aruxil,Opsonin Pharma ,[Almitrine Bismesylate ; Raubasine]
,Truxil,Square Pharmaceuticals ,[Almitrine Bismesylate ; Raubasine]
,Almitan,Opsonin Pharma ,[Almotriptan]
,Altrip,NIPRO JMI Pharma ,[Almotriptan]
,Centrica,Boehringer Ingelheim Pharmaceutical,[Alpha Ketoanalogues & Essential amino acids]
,Ketosteril,"Fresenius Kabi Deutschland GmbH, Germany",[Alpha Ketoanalogues & Essential amino acids]
,Naturovit,Boehringer Ingelheim Pharmaceutical,[Alpha Ketoanalogues & Essential amino acids]
,Alpam,Asiatic Laboratories ,[Alprazolam]
,Alprax,Opsonin Pharma ,[Alprazolam]
,Alprax XR,Opsonin Pharma ,[Alprazolam]
,Alprocontin,Mundipharma,[Alprazolam]
,Alzolam 0.25,Sun Pharmaceutical,[Alprazolam]
,Alzolam 0.5,Sun Pharmaceutical,[Alprazolam]
,Alzolam SR 1,Sun Pharmaceutical,[Alprazolam]
,Nixalo,Square Pharmaceuticals ,[Alprazolam]
,Serelam,General Pharmaceuticals ,[Alprazolam]
,Xanax,Navana Pharmaceuticals ,[Alprazolam]
,Xolam XR,Aristopharma ,[Alprazolam]
,Zolax,Beximco Pharmaceuticals ,[Alprazolam]
,Zolium,Incepta Pharmaceuticals ,[Alprazolam]
,Dricare,Ziska Pharmaceuticals ,[Aluminium Chloride Hexahydrate]
,Alucil S,Opsonin Pharma ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Amacid Plus,Incepta Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Antacid Max,Beximco Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Antanil PLUS,Ibn Sina Pharmaceutical,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Biocid PLUS,Bio Pharma Laboratories ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Droxigel PLUS,Modern Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Entacyd PLUS,Square Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Flatameal,Beximco Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Geludrox HS,Drug International Ltd.,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Jpdrox S,Jayson Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Magadrox PLUS,GA Company ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Neutral S,Hallmark Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Nocid PLUS,Medimet Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Oxecone S,Acme Laboratories ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Peptacid,Amico Laboratories ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Pharmacid PLUS,Pharmadesh Laboratories ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Recocid Plus,Rephco Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Remacid PLUS,Reman Drug Laboratories ,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Stoma Gas,Eskayef Bangladesh,[Aluminium Hydroxide ; Magnesium Hydroxide ; Simethicon]
,Algex,Doctor's Chemicals Works ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Alucil -s,Opsonin Pharma ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Alugel,Cosmic Chemical Industries ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Ancid Plus,Renata ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Antameal,Alco Pharma ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Antanil,Ibn Sina Pharmaceutical,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Apcocid,Supreme Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Avlocid,ACI ltd.,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Biocid,Bio Pharma Laboratories ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Crystacid,Crystal Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Cytocid,Central Pharmaceutical ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Digel,Aristopharma ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Dolocid,Aexim Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Duomeal,Ad din Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Entacyd,Square Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Epazel,Edruc ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,G Antacid MH,Gonoshasthaya Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Gastrodyne,Orion Pharma ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Genacid,General Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Hi Gel,Hudson Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Jpdrox,Jayson Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Lactameal,Beximco Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Magnogel,Amico Laboratories ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Nocid,Medimet Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Oxecone,Acme Laboratories ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Pharmacid,Pharmadesh Laboratories ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Placid,Salton Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Recocid,Rephco Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Remacid,Reman Drug Laboratories ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Stoma,Eskayef Bangladesh,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Stomacid,Ambee Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Sugel,Pacific Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Trialugel,Indobangla Pharmaceuticals,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Tricid,Kumudini Pharma ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,Z Antacid,Ziska Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Hydroxide]
,G Antacid,Gonoshasthaya Pharmaceuticals ,[Aluminium Hydroxide ; Magnesium Trisilicate]
,Locid,ACI ltd.,[Aluminium Hydroxide]
,Locid Liquid,ACI ltd.,[Aluminium Hydroxide]
,Stoma Suspension,Eskayef Bangladesh,[Aluminium Hydroxide]
,Acedone-Z Plus,Zenith Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Alucil S,Opsonin Pharma ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Amacid Plus Susp,Incepta Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Ancid DS Plus,Renata ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Avlocid Plus,ACI ltd.,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Biocid Plus,Bio Pharma Laboratories ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Droxigel PLUS,Modern Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Epazel Plus,Edruc ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Flatameal DS,Beximco Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Geludrox HS,Drug International Ltd.,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Magadrox PLUS,GA Company ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Neutral S,Hallmark Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Nocid PLUS,Medimet Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Oxecone S,Acme Laboratories ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Peptacid,Amico Laboratories ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Recocid Plus,Rephco Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Remacid PLUS,Reman Drug Laboratories ,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Stoma Gas Susp,Eskayef Bangladesh,[Aluminium Oxide ; Magnesium Hydroxide ; Simethicon]
,Acedone Z,Zenith Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Acedone-Z,Zenith Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Acidrox,Syntho Laboratories ,[Aluminium Oxide ; Magnesium Hydroxide]
,Acidrox-M,Zenith Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Algex,Doctor's Chemicals Works ,[Aluminium Oxide ; Magnesium Hydroxide]
,Antanil,Ibn Sina Pharmaceutical,[Aluminium Oxide ; Magnesium Hydroxide]
,Apedrox,APC Pharma ,[Aluminium Oxide ; Magnesium Hydroxide]
,Biocid MH,Bio Pharma Laboratories ,[Aluminium Oxide ; Magnesium Hydroxide]
,Cytocid,Central Pharmaceutical ,[Aluminium Oxide ; Magnesium Hydroxide]
,Digel,Aristopharma ,[Aluminium Oxide ; Magnesium Hydroxide]
,Dolocid,Aexim Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Droxigel S,Modern Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Duomeal,Ad din Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Gastolin,Belsen Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Gastrodyne,Orion Pharma ,[Aluminium Oxide ; Magnesium Hydroxide]
,Genacid,General Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Hydrocid,Millat Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Lactameal,Beximco Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Magnogel,Amico Laboratories ,[Aluminium Oxide ; Magnesium Hydroxide]
,Mucogel,Medicon Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Nocid N,Medimet Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Oxecone,Acme Laboratories ,[Aluminium Oxide ; Magnesium Hydroxide]
,Pharmacid,Pharmadesh Laboratories ,[Aluminium Oxide ; Magnesium Hydroxide]
,Seemacid MH,Seema Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Seemacid Plus,Seema Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Stomacid,Ambee Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,Sugel,Pacific Pharmaceuticals ,[Aluminium Oxide ; Magnesium Hydroxide]
,G Antacid,Gonoshasthaya Pharmaceuticals ,[Aluminium Oxide ; Magnesium Trisilicate]
,Alve,Orion Pharma ,[Alverine Citrate]
,Alverin,Rangs Pharmaceuticals ,[Alverine Citrate]
,Dismonal,Opsonin Pharma ,[Alverine Citrate]
,Somolax,Incepta Pharmaceuticals ,[Alverine Citrate]
,Spasverin,Beacon Pharmaceuticals ,[Alverine Citrate]
,Influ,Peoples Pharma ,[Amantadine Hydrochloride]
,Acorex,Apex Pharmaceuticals ,[Ambroxol]
,Acticol,Glaxo SmithKline Bangladesh ,[Ambroxol]
,Ambix,Modern Pharmaceuticals ,[Ambroxol]
,Ambokof,Novelta Bestway Pharmaceuticals ,[Ambroxol]
,Ambolos,SN Pharmaceuticals ,[Ambroxol]
